Date,Task Description,Clause,Time (h),File/Link,Notes
2025-06-30,"Commit limpo: Remove histórico de segredos, MVP fu...",Clause 4 - Context,0.5,sha:c4d4e7c0d5941868282646d6b201c1185e9736f6 - mcp_server/erp_mcp.json,"Author: Fabio, Status: added"
2025-06-30,"Commit limpo: Remove histórico de segredos, MVP fu...",Clause 4 - Context,0.5,sha:c4d4e7c0d5941868282646d6b201c1185e9736f6 - mcp_server/hr_mcp.json,"Author: Fabio, Status: added"
2025-06-30,"Commit limpo: Remove histórico de segredos, MVP fu...",Clause 4 - Context,0.5,sha:c4d4e7c0d5941868282646d6b201c1185e9736f6 - requirements.txt,"Author: Fabio, Status: added"
2025-06-30,"Commit limpo: Remove histórico de segredos, MVP fu...",Clause 8 - Operation,1.5,sha:c4d4e7c0d5941868282646d6b201c1185e9736f6 - services/crm_service.py,"Author: Fabio, Status: added"
2025-06-30,"Commit limpo: Remove histórico de segredos, MVP fu...",Clause 8 - Operation,1.5,sha:c4d4e7c0d5941868282646d6b201c1185e9736f6 - services/erp_service.py,"Author: Fabio, Status: added"
2025-06-30,"Commit limpo: Remove histórico de segredos, MVP fu...",Clause 8 - Operation,1.5,sha:c4d4e7c0d5941868282646d6b201c1185e9736f6 - services/hr_service.py,"Author: Fabio, Status: added"
2025-06-30,"Commit limpo: Remove histórico de segredos, MVP fu...",Clause 9 - Performance Evaluation,1.5,sha:c4d4e7c0d5941868282646d6b201c1185e9736f6 - tests/test_agent.py,"Author: Fabio, Status: added"
2025-06-30,"Commit limpo: Remove histórico de segredos, MVP fu...",Clause 9 - Performance Evaluation,1.5,sha:c4d4e7c0d5941868282646d6b201c1185e9736f6 - tests/test_crm.py,"Author: Fabio, Status: added"
2025-07-13,"feat: Implement critical fixes and enhancements

✨...",Clause 4 - Context,0.5,sha:0e3db0121598149b44def3d7a13cbdeaa7ddba1d - .env.example,"Author: Fabio, Status: added"
2025-07-13,"feat: Implement critical fixes and enhancements

✨...",Clause 4 - Context,2.0,sha:0e3db0121598149b44def3d7a13cbdeaa7ddba1d - CRITICAL_FIXES_SUMMARY.md,"Author: Fabio, Status: added"
2025-07-13,"feat: Implement critical fixes and enhancements

✨...",Clause 4 - Context,2.0,sha:0e3db0121598149b44def3d7a13cbdeaa7ddba1d - README.md,"Author: Fabio, Status: modified"
2025-07-13,"feat: Implement critical fixes and enhancements

✨...",Clause 8 - Operation,1.5,sha:0e3db0121598149b44def3d7a13cbdeaa7ddba1d - agent/agent_core.py,"Author: Fabio, Status: modified"
2025-07-13,"feat: Implement critical fixes and enhancements

✨...",Clause 4 - Context,1.5,sha:0e3db0121598149b44def3d7a13cbdeaa7ddba1d - complete_setup.py,"Author: Fabio, Status: added"
2025-07-13,"feat: Implement critical fixes and enhancements

✨...",Clause 4 - Context,1.5,sha:0e3db0121598149b44def3d7a13cbdeaa7ddba1d - config.py,"Author: Fabio, Status: added"
2025-07-13,"feat: Implement critical fixes and enhancements

✨...",Clause 4 - Context,0.5,sha:0e3db0121598149b44def3d7a13cbdeaa7ddba1d - data/clients.json,"Author: Fabio, Status: modified"
2025-07-13,"feat: Implement critical fixes and enhancements

✨...",Clause 4 - Context,0.5,sha:0e3db0121598149b44def3d7a13cbdeaa7ddba1d - data/departments.json,"Author: Fabio, Status: added"
2025-07-13,"feat: Implement critical fixes and enhancements

✨...",Clause 4 - Context,0.5,sha:0e3db0121598149b44def3d7a13cbdeaa7ddba1d - data/reviews.json,"Author: Fabio, Status: added"
2025-07-13,"feat: Implement critical fixes and enhancements

✨...",Clause 4 - Context,1.5,sha:0e3db0121598149b44def3d7a13cbdeaa7ddba1d - frontend/app.py,"Author: Fabio, Status: modified"
2025-07-13,"feat: Implement critical fixes and enhancements

✨...",Clause 4 - Context,0.5,sha:0e3db0121598149b44def3d7a13cbdeaa7ddba1d - mcp_server/crm_mcp.json,"Author: Fabio, Status: modified"
2025-07-13,"feat: Implement critical fixes and enhancements

✨...",Clause 8 - Operation,1.5,sha:0e3db0121598149b44def3d7a13cbdeaa7ddba1d - services/crm_service.py,"Author: Fabio, Status: modified"
2025-07-13,"feat: Implement critical fixes and enhancements

✨...",Clause 4 - Context,1.5,sha:0e3db0121598149b44def3d7a13cbdeaa7ddba1d - setup.py,"Author: Fabio, Status: added"
2025-07-14,"🎯 Enhance README for portfolio presentation

- Add...",Clause 4 - Context,2.0,sha:68408dfe70a90ed5edf60e50f5453392a232e5de - README.md,"Author: Fabio, Status: modified"
2025-07-14,"📝 Final consistency improvements

- Add EOF newlin...",Clause 4 - Context,2.0,sha:45dd1510878a1560fc00d2895d4df2d0ce72b514 - DEVELOPMENT.md,"Author: Fabio, Status: modified"
2025-07-14,"📝 Final consistency improvements

- Add EOF newlin...",Clause 4 - Context,0.5,sha:45dd1510878a1560fc00d2895d4df2d0ce72b514 - LICENSE,"Author: Fabio, Status: modified"
2025-07-14,"📝 Final consistency improvements

- Add EOF newlin...",Clause 4 - Context,0.5,sha:45dd1510878a1560fc00d2895d4df2d0ce72b514 - MANIFEST.in,"Author: Fabio, Status: modified"
2025-07-14,"📝 Final consistency improvements

- Add EOF newlin...",Clause 4 - Context,2.0,sha:45dd1510878a1560fc00d2895d4df2d0ce72b514 - PROJECT_RULES.md,"Author: Fabio, Status: modified"
2025-07-14,"📝 Final consistency improvements

- Add EOF newlin...",Clause 4 - Context,0.5,sha:45dd1510878a1560fc00d2895d4df2d0ce72b514 - data/employees.json,"Author: Fabio, Status: modified"
2025-07-14,"📝 Final consistency improvements

- Add EOF newlin...",Clause 4 - Context,0.5,sha:45dd1510878a1560fc00d2895d4df2d0ce72b514 - data/orders.json,"Author: Fabio, Status: modified"
2025-07-14,"📝 Final consistency improvements

- Add EOF newlin...",Clause 4 - Context,1.5,sha:45dd1510878a1560fc00d2895d4df2d0ce72b514 - frontend/app.py,"Author: Fabio, Status: modified"
2025-07-14,"📝 Final consistency improvements

- Add EOF newlin...",Clause 4 - Context,1.5,sha:45dd1510878a1560fc00d2895d4df2d0ce72b514 - frontend/landing.py,"Author: Fabio, Status: modified"
2025-07-14,"📝 Final consistency improvements

- Add EOF newlin...",Clause 4 - Context,1.5,sha:45dd1510878a1560fc00d2895d4df2d0ce72b514 - init_setup.py,"Author: Fabio, Status: modified"
2025-07-14,"📝 Final consistency improvements

- Add EOF newlin...",Clause 4 - Context,0.5,sha:45dd1510878a1560fc00d2895d4df2d0ce72b514 - mcp_server/crm_mcp.json,"Author: Fabio, Status: modified"
2025-07-14,"📝 Final consistency improvements

- Add EOF newlin...",Clause 4 - Context,0.5,sha:45dd1510878a1560fc00d2895d4df2d0ce72b514 - mcp_server/erp_mcp.json,"Author: Fabio, Status: modified"
2025-07-14,"📝 Final consistency improvements

- Add EOF newlin...",Clause 4 - Context,0.5,sha:45dd1510878a1560fc00d2895d4df2d0ce72b514 - mcp_server/hr_mcp.json,"Author: Fabio, Status: modified"
2025-07-14,"📝 Final consistency improvements

- Add EOF newlin...",Clause 4 - Context,0.5,sha:45dd1510878a1560fc00d2895d4df2d0ce72b514 - requirements-dev.txt,"Author: Fabio, Status: modified"
2025-07-14,"📝 Final consistency improvements

- Add EOF newlin...",Clause 4 - Context,0.5,sha:45dd1510878a1560fc00d2895d4df2d0ce72b514 - requirements.txt,"Author: Fabio, Status: modified"
2025-07-14,"📝 Final consistency improvements

- Add EOF newlin...",Clause 9 - Performance Evaluation,1.5,sha:45dd1510878a1560fc00d2895d4df2d0ce72b514 - tests/test_agent.py,"Author: Fabio, Status: modified"
2025-07-14,"📸 Add professional screenshots and documentation

...",Clause 4 - Context,2.0,sha:e5c6912c7195005834f2daa3f633874f03c69763 - README.md,"Author: Fabio, Status: modified"
2025-07-14,"📸 Add professional screenshots and documentation

...",Clause 4 - Context,2.0,sha:e5c6912c7195005834f2daa3f633874f03c69763 - docs/screenshots/SCREENSHOTS.md,"Author: Fabio, Status: added"
2025-07-14,"📸 Add professional screenshots and documentation

...",Clause 4 - Context,2.0,sha:e5c6912c7195005834f2daa3f633874f03c69763 - docs/screenshots/landing-page.png,"Author: Fabio, Status: added"
2025-07-14,"📸 Add professional screenshots and documentation

...",Clause 4 - Context,2.0,sha:e5c6912c7195005834f2daa3f633874f03c69763 - docs/screenshots/main-app-interface.png,"Author: Fabio, Status: added"
2025-07-14,feat: implement final CodeX improvements - logging...,Clause 4 - Context,0.5,sha:2262db4eb34b34430275a15a9bfc132f7fd95314 - .markdownlint.json,"Author: Fabio, Status: added"
2025-07-14,feat: implement final CodeX improvements - logging...,Clause 4 - Context,2.0,sha:2262db4eb34b34430275a15a9bfc132f7fd95314 - DEVELOPMENT.md,"Author: Fabio, Status: added"
2025-07-14,feat: implement final CodeX improvements - logging...,Clause 4 - Context,0.5,sha:2262db4eb34b34430275a15a9bfc132f7fd95314 - LICENSE,"Author: Fabio, Status: added"
2025-07-14,feat: implement final CodeX improvements - logging...,Clause 4 - Context,0.5,sha:2262db4eb34b34430275a15a9bfc132f7fd95314 - MANIFEST.in,"Author: Fabio, Status: added"
2025-07-14,feat: implement final CodeX improvements - logging...,Clause 4 - Context,2.0,sha:2262db4eb34b34430275a15a9bfc132f7fd95314 - README.md,"Author: Fabio, Status: modified"
2025-07-14,feat: implement final CodeX improvements - logging...,Clause 4 - Context,2.0,sha:2262db4eb34b34430275a15a9bfc132f7fd95314 - SCREENSHOTS.md,"Author: Fabio, Status: added"
2025-07-14,feat: implement final CodeX improvements - logging...,Clause 8 - Operation,1.5,sha:2262db4eb34b34430275a15a9bfc132f7fd95314 - agent/agent_core.py,"Author: Fabio, Status: modified"
2025-07-14,feat: implement final CodeX improvements - logging...,Clause 8 - Operation,1.5,sha:2262db4eb34b34430275a15a9bfc132f7fd95314 - agent/tools_mcp_client.py,"Author: Fabio, Status: modified"
2025-07-14,feat: implement final CodeX improvements - logging...,Clause 4 - Context,1.5,sha:2262db4eb34b34430275a15a9bfc132f7fd95314 - frontend/app.py,"Author: Fabio, Status: modified"
2025-07-14,feat: implement final CodeX improvements - logging...,Clause 4 - Context,1.5,sha:2262db4eb34b34430275a15a9bfc132f7fd95314 - init_setup.py,"Author: Fabio, Status: added"
2025-07-14,feat: implement final CodeX improvements - logging...,Clause 4 - Context,0.5,sha:2262db4eb34b34430275a15a9bfc132f7fd95314 - requirements-dev.txt,"Author: Fabio, Status: added"
2025-07-14,feat: implement final CodeX improvements - logging...,Clause 4 - Context,1.5,sha:2262db4eb34b34430275a15a9bfc132f7fd95314 - setup.py,"Author: Fabio, Status: modified"
2025-07-14,feat: implement final CodeX improvements - logging...,Clause 9 - Performance Evaluation,1.5,sha:2262db4eb34b34430275a15a9bfc132f7fd95314 - tests/test_agent.py,"Author: Fabio, Status: modified"
2025-07-14,feat: implement final CodeX improvements - logging...,Clause 9 - Performance Evaluation,1.5,sha:2262db4eb34b34430275a15a9bfc132f7fd95314 - tests/test_crm.py,"Author: Fabio, Status: modified"
2025-07-14,feat: implement final CodeX improvements - logging...,Clause 9 - Performance Evaluation,1.5,sha:2262db4eb34b34430275a15a9bfc132f7fd95314 - tests/test_erp.py,"Author: Fabio, Status: added"
2025-07-14,feat: implement final CodeX improvements - logging...,Clause 9 - Performance Evaluation,1.5,sha:2262db4eb34b34430275a15a9bfc132f7fd95314 - tests/test_hr.py,"Author: Fabio, Status: added"
2025-07-14,🔧 FIX: Resolve import issues for both package and ...,Clause 8 - Operation,1.5,sha:4cea42c949c882667ef0a28efabe10f67cdcc0f4 - agent/agent_core.py,"Author: Fabio, Status: modified"
2025-07-14,🔧 FIX: Resolve import issues for both package and ...,Clause 4 - Context,1.5,sha:4cea42c949c882667ef0a28efabe10f67cdcc0f4 - frontend/app.py,"Author: Fabio, Status: modified"
2025-07-14,🔧 FIX: Resolve import issues for both package and ...,Clause 9 - Performance Evaluation,1.5,sha:4cea42c949c882667ef0a28efabe10f67cdcc0f4 - tests/test_agent.py,"Author: Fabio, Status: modified"
2025-07-14,🔧 FIX: Resolve import issues for both package and ...,Clause 9 - Performance Evaluation,1.5,sha:4cea42c949c882667ef0a28efabe10f67cdcc0f4 - tests/test_crm.py,"Author: Fabio, Status: modified"
2025-07-14,🚀 MAJOR: Implement CodeX OpenAI feedback - Product...,Clause 4 - Context,2.0,sha:c1a9dd108acdd4221718eca9e299dac829912fe9 - CRITICAL_FIXES_SUMMARY.md,"Author: Fabio, Status: removed"
2025-07-14,🚀 MAJOR: Implement CodeX OpenAI feedback - Product...,Clause 4 - Context,1.5,sha:c1a9dd108acdd4221718eca9e299dac829912fe9 - __init__.py,"Author: Fabio, Status: added"
2025-07-14,🚀 MAJOR: Implement CodeX OpenAI feedback - Product...,Clause 8 - Operation,1.5,sha:c1a9dd108acdd4221718eca9e299dac829912fe9 - agent/__init__.py,"Author: Fabio, Status: added"
2025-07-14,🚀 MAJOR: Implement CodeX OpenAI feedback - Product...,Clause 8 - Operation,1.5,sha:c1a9dd108acdd4221718eca9e299dac829912fe9 - agent/agent_core.py,"Author: Fabio, Status: modified"
2025-07-14,🚀 MAJOR: Implement CodeX OpenAI feedback - Product...,Clause 8 - Operation,1.5,sha:c1a9dd108acdd4221718eca9e299dac829912fe9 - agent/tools_mcp_client.py,"Author: Fabio, Status: modified"
2025-07-14,🚀 MAJOR: Implement CodeX OpenAI feedback - Product...,Clause 4 - Context,1.5,sha:c1a9dd108acdd4221718eca9e299dac829912fe9 - complete_setup.py,"Author: Fabio, Status: modified"
2025-07-14,🚀 MAJOR: Implement CodeX OpenAI feedback - Product...,Clause 4 - Context,1.5,sha:c1a9dd108acdd4221718eca9e299dac829912fe9 - config.py,"Author: Fabio, Status: modified"
2025-07-14,🚀 MAJOR: Implement CodeX OpenAI feedback - Product...,Clause 4 - Context,1.5,sha:c1a9dd108acdd4221718eca9e299dac829912fe9 - frontend/__init__.py,"Author: Fabio, Status: added"
2025-07-14,🚀 MAJOR: Implement CodeX OpenAI feedback - Product...,Clause 4 - Context,1.5,sha:c1a9dd108acdd4221718eca9e299dac829912fe9 - frontend/app.py,"Author: Fabio, Status: modified"
2025-07-14,🚀 MAJOR: Implement CodeX OpenAI feedback - Product...,Clause 4 - Context,1.5,sha:c1a9dd108acdd4221718eca9e299dac829912fe9 - frontend/data_admin.py,"Author: Fabio, Status: modified"
2025-07-14,🚀 MAJOR: Implement CodeX OpenAI feedback - Product...,Clause 4 - Context,1.5,sha:c1a9dd108acdd4221718eca9e299dac829912fe9 - frontend/landing.py,"Author: Fabio, Status: modified"
2025-07-14,🚀 MAJOR: Implement CodeX OpenAI feedback - Product...,Clause 4 - Context,1.5,sha:c1a9dd108acdd4221718eca9e299dac829912fe9 - generate_synthetic_data.py,"Author: Fabio, Status: modified"
2025-07-14,🚀 MAJOR: Implement CodeX OpenAI feedback - Product...,Clause 4 - Context,0.5,sha:c1a9dd108acdd4221718eca9e299dac829912fe9 - requirements.txt,"Author: Fabio, Status: modified"
2025-07-14,🚀 MAJOR: Implement CodeX OpenAI feedback - Product...,Clause 8 - Operation,1.5,sha:c1a9dd108acdd4221718eca9e299dac829912fe9 - services/__init__.py,"Author: Fabio, Status: added"
2025-07-14,🚀 MAJOR: Implement CodeX OpenAI feedback - Product...,Clause 8 - Operation,1.5,sha:c1a9dd108acdd4221718eca9e299dac829912fe9 - services/crm_service.py,"Author: Fabio, Status: modified"
2025-07-14,🚀 MAJOR: Implement CodeX OpenAI feedback - Product...,Clause 8 - Operation,1.5,sha:c1a9dd108acdd4221718eca9e299dac829912fe9 - services/erp_service.py,"Author: Fabio, Status: modified"
2025-07-14,🚀 MAJOR: Implement CodeX OpenAI feedback - Product...,Clause 8 - Operation,1.5,sha:c1a9dd108acdd4221718eca9e299dac829912fe9 - services/hr_service.py,"Author: Fabio, Status: modified"
2025-07-14,🚀 MAJOR: Implement CodeX OpenAI feedback - Product...,Clause 8 - Operation,1.5,sha:c1a9dd108acdd4221718eca9e299dac829912fe9 - services/models.py,"Author: Fabio, Status: added"
2025-07-14,🚀 MAJOR: Implement CodeX OpenAI feedback - Product...,Clause 8 - Operation,1.5,sha:c1a9dd108acdd4221718eca9e299dac829912fe9 - services/validation.py,"Author: Fabio, Status: added"
2025-07-14,🚀 MAJOR: Implement CodeX OpenAI feedback - Product...,Clause 4 - Context,1.5,sha:c1a9dd108acdd4221718eca9e299dac829912fe9 - setup.py,"Author: Fabio, Status: modified"
2025-07-14,🚀 MAJOR: Implement CodeX OpenAI feedback - Product...,Clause 9 - Performance Evaluation,1.5,sha:c1a9dd108acdd4221718eca9e299dac829912fe9 - tests/__init__.py,"Author: Fabio, Status: added"
2025-07-14,🚀 MAJOR: Implement CodeX OpenAI feedback - Product...,Clause 9 - Performance Evaluation,1.5,sha:c1a9dd108acdd4221718eca9e299dac829912fe9 - tests/test_agent.py,"Author: Fabio, Status: modified"
2025-07-14,🚀 MAJOR: Implement CodeX OpenAI feedback - Product...,Clause 9 - Performance Evaluation,1.5,sha:c1a9dd108acdd4221718eca9e299dac829912fe9 - tests/test_crm.py,"Author: Fabio, Status: modified"
2025-07-17,"feat: Implement enterprise-grade FastAPI REST API
...",Clause 8 - Operation,2.0,sha:891f0bcad4adbee422319a67245a883ef4668297 - api/README.md,"Author: Fabio, Status: added"
2025-07-17,"feat: Implement enterprise-grade FastAPI REST API
...",Clause 8 - Operation,1.5,sha:891f0bcad4adbee422319a67245a883ef4668297 - api/__init__.py,"Author: Fabio, Status: added"
2025-07-17,"feat: Implement enterprise-grade FastAPI REST API
...",Clause 8 - Operation,1.5,sha:891f0bcad4adbee422319a67245a883ef4668297 - api/dependencies.py,"Author: Fabio, Status: added"
2025-07-17,"feat: Implement enterprise-grade FastAPI REST API
...",Clause 8 - Operation,1.5,sha:891f0bcad4adbee422319a67245a883ef4668297 - api/main.py,"Author: Fabio, Status: added"
2025-07-17,"feat: Implement enterprise-grade FastAPI REST API
...",Clause 8 - Operation,1.5,sha:891f0bcad4adbee422319a67245a883ef4668297 - api/middleware/__init__.py,"Author: Fabio, Status: added"
2025-07-17,"feat: Implement enterprise-grade FastAPI REST API
...",Clause 8 - Operation,1.5,sha:891f0bcad4adbee422319a67245a883ef4668297 - api/middleware/auth.py,"Author: Fabio, Status: added"
2025-07-17,"feat: Implement enterprise-grade FastAPI REST API
...",Clause 8 - Operation,1.5,sha:891f0bcad4adbee422319a67245a883ef4668297 - api/middleware/cors.py,"Author: Fabio, Status: added"
2025-07-17,"feat: Implement enterprise-grade FastAPI REST API
...",Clause 8 - Operation,1.5,sha:891f0bcad4adbee422319a67245a883ef4668297 - api/middleware/logging.py,"Author: Fabio, Status: added"
2025-07-17,"feat: Implement enterprise-grade FastAPI REST API
...",Clause 8 - Operation,1.5,sha:891f0bcad4adbee422319a67245a883ef4668297 - api/routers/__init__.py,"Author: Fabio, Status: added"
2025-07-17,"feat: Implement enterprise-grade FastAPI REST API
...",Clause 8 - Operation,1.5,sha:891f0bcad4adbee422319a67245a883ef4668297 - api/routers/agent.py,"Author: Fabio, Status: added"
2025-07-17,"feat: Implement enterprise-grade FastAPI REST API
...",Clause 8 - Operation,1.5,sha:891f0bcad4adbee422319a67245a883ef4668297 - api/routers/health.py,"Author: Fabio, Status: added"
2025-07-17,"feat: Implement enterprise-grade FastAPI REST API
...",Clause 8 - Operation,1.5,sha:891f0bcad4adbee422319a67245a883ef4668297 - api/schemas/__init__.py,"Author: Fabio, Status: added"
2025-07-17,"feat: Implement enterprise-grade FastAPI REST API
...",Clause 8 - Operation,1.5,sha:891f0bcad4adbee422319a67245a883ef4668297 - api/schemas/requests.py,"Author: Fabio, Status: added"
2025-07-17,"feat: Implement enterprise-grade FastAPI REST API
...",Clause 8 - Operation,1.5,sha:891f0bcad4adbee422319a67245a883ef4668297 - api/schemas/responses.py,"Author: Fabio, Status: added"
2025-07-17,"feat: Implement enterprise-grade FastAPI REST API
...",Clause 4 - Context,0.5,sha:891f0bcad4adbee422319a67245a883ef4668297 - requirements.txt,"Author: Fabio, Status: modified"
2025-07-17,"feat: Implement enterprise-grade FastAPI REST API
...",Clause 4 - Context,1.5,sha:891f0bcad4adbee422319a67245a883ef4668297 - run_api.py,"Author: Fabio, Status: added"
2025-07-17,"feat: Implement enterprise-grade FastAPI REST API
...",Clause 4 - Context,1.5,sha:891f0bcad4adbee422319a67245a883ef4668297 - setup.py,"Author: Fabio, Status: modified"
2025-07-21,docs: Adiciona seção de links públicos das apps St...,Clause 4 - Context,2.0,sha:db6c844d6e9b13655bc335da51a5bd98968e553c - README.md,"Author: onchainlabs1, Status: modified"
2025-07-21,fix: Atualiza links do GitHub e adiciona URLs públ...,Clause 4 - Context,1.5,sha:6e4a1a0e0214cf8bc5954902e1102cc3ee995d29 - landing.py,"Author: onchainlabs1, Status: modified"
2025-07-21,feat: Add landing page for Streamlit Cloud deploym...,Clause 4 - Context,1.5,sha:693c08a04bf1d473aebacbcb3d58da7808fd8af4 - landing.py,"Author: onchainlabs1, Status: added"
2025-07-21,fix: Add missing dependencies for Streamlit Cloud ...,Clause 4 - Context,0.5,sha:1ba9ae94c224118a5666d248e420c9630b4d73f7 - requirements.txt,"Author: onchainlabs1, Status: modified"
2025-07-21,feat: Prepare for Streamlit Community Cloud deploy...,Clause 4 - Context,1.5,sha:0298dda2fb319d54945854ccdeaa13025f3077c2 - app.py,"Author: onchainlabs1, Status: added"
2025-07-21,feat: Prepare for Streamlit Community Cloud deploy...,Clause 4 - Context,0.5,sha:0298dda2fb319d54945854ccdeaa13025f3077c2 - requirements-full.txt,"Author: onchainlabs1, Status: added"
2025-07-21,feat: Prepare for Streamlit Community Cloud deploy...,Clause 4 - Context,0.5,sha:0298dda2fb319d54945854ccdeaa13025f3077c2 - requirements.txt,"Author: onchainlabs1, Status: modified"
2025-07-21,feat: Complete portfolio-ready version v1.0.0 - En...,Clause 4 - Context,2.0,sha:d7f2da29e7fb3a5ea685bb8ddd5eba2bb60cb16b - CHANGELOG.md,"Author: onchainlabs1, Status: added"
2025-07-21,feat: Complete portfolio-ready version v1.0.0 - En...,Clause 4 - Context,2.0,sha:d7f2da29e7fb3a5ea685bb8ddd5eba2bb60cb16b - README.md,"Author: onchainlabs1, Status: modified"
2025-07-21,feat: Complete portfolio-ready version v1.0.0 - En...,Clause 8 - Operation,1.5,sha:d7f2da29e7fb3a5ea685bb8ddd5eba2bb60cb16b - agent/agent_core.py,"Author: onchainlabs1, Status: modified"
2025-08-03,feat: implement new structured ISO/IEC 42001:2023 ...,Clause 4 - Context,2.0,sha:df6b749ff44eb944d469e2ea9c0710d2f2d7e5a6 - docs/Clause4_Context_new/AIMS_Context_and_Stakeholders.md,"Author: onchainlabs1, Status: added"
2025-08-03,feat: implement new structured ISO/IEC 42001:2023 ...,Clause 4 - Context,2.0,sha:df6b749ff44eb944d469e2ea9c0710d2f2d7e5a6 - docs/Clause4_Context_new/AIMS_Scope_and_Boundaries.md,"Author: onchainlabs1, Status: added"
2025-08-03,feat: implement new structured ISO/IEC 42001:2023 ...,Clause 4 - Context,2.0,sha:df6b749ff44eb944d469e2ea9c0710d2f2d7e5a6 - docs/Clause4_Context_new/README.md,"Author: onchainlabs1, Status: added"
2025-08-03,feat: implement new structured ISO/IEC 42001:2023 ...,Clause 5 - Leadership,2.0,sha:df6b749ff44eb944d469e2ea9c0710d2f2d7e5a6 - docs/Clause5_Leadership_new/AIMS_Roles_and_Responsibilities.md,"Author: onchainlabs1, Status: added"
2025-08-03,feat: implement new structured ISO/IEC 42001:2023 ...,Clause 5 - Leadership,2.0,sha:df6b749ff44eb944d469e2ea9c0710d2f2d7e5a6 - docs/Clause5_Leadership_new/AI_Acceptable_Use_Policy.md,"Author: onchainlabs1, Status: added"
2025-08-03,feat: implement new structured ISO/IEC 42001:2023 ...,Clause 5 - Leadership,2.0,sha:df6b749ff44eb944d469e2ea9c0710d2f2d7e5a6 - docs/Clause5_Leadership_new/AI_Concern_Reporting_Procedure.md,"Author: onchainlabs1, Status: added"
2025-08-03,feat: implement new structured ISO/IEC 42001:2023 ...,Clause 5 - Leadership,2.0,sha:df6b749ff44eb944d469e2ea9c0710d2f2d7e5a6 - docs/Clause5_Leadership_new/AI_Management_Policy.md,"Author: onchainlabs1, Status: added"
2025-08-03,feat: implement new structured ISO/IEC 42001:2023 ...,Clause 5 - Leadership,2.0,sha:df6b749ff44eb944d469e2ea9c0710d2f2d7e5a6 - docs/Clause5_Leadership_new/README.md,"Author: onchainlabs1, Status: added"
2025-08-03,feat: implement new structured ISO/IEC 42001:2023 ...,Clause 6 - Planning,2.0,sha:df6b749ff44eb944d469e2ea9c0710d2f2d7e5a6 - docs/Clause6_Planning_new/AI_Change_Management_Procedure.md,"Author: onchainlabs1, Status: added"
2025-08-03,feat: implement new structured ISO/IEC 42001:2023 ...,Clause 6 - Planning,2.0,sha:df6b749ff44eb944d469e2ea9c0710d2f2d7e5a6 - docs/Clause6_Planning_new/AI_Objectives_and_Planning.md,"Author: onchainlabs1, Status: added"
2025-08-03,feat: implement new structured ISO/IEC 42001:2023 ...,Clause 6 - Planning,2.0,sha:df6b749ff44eb944d469e2ea9c0710d2f2d7e5a6 - docs/Clause6_Planning_new/AI_Risk_Management_Procedure.md,"Author: onchainlabs1, Status: added"
